subgenome,condition,panel_type,component,explained_variance_ratio
sgC,priority_seed_20250419_24000,full_panel,PC4,0.05105288289652402
sgC,priority_seed_20250419_24000,full_panel,PC5,0.03758111335147941
sgC,priority_seed_20250419_24000,arabica_only,PC1,0.3383349994408286
sgC,priority_seed_20250419_24000,arabica_only,PC2,0.1664937627577475
sgC,priority_seed_20250419_24000,arabica_only,PC3,0.05694822260198353
sgC,priority_seed_20250419_24000,arabica_only,PC4,0.04654377140316568
sgC,priority_seed_20250419_24000,arabica_only,PC5,0.03631833037354155
sgC,priority_seed_20250419_48000,full_panel,PC1,0.3960759744250945
sgC,priority_seed_20250419_48000,full_panel,PC2,0.1439574584171824
sgC,priority_seed_20250419_48000,full_panel,PC3,0.08260784272088319
sgC,priority_seed_20250419_48000,full_panel,PC4,0.05061350518132934
sgC,priority_seed_20250419_48000,full_panel,PC5,0.0373384416918666
sgC,priority_seed_20250419_48000,arabica_only,PC1,0.3390739412887055
sgC,priority_seed_20250419_48000,arabica_only,PC2,0.1676319033618547
sgC,priority_seed_20250419_48000,arabica_only,PC3,0.05672737494447491
sgC,priority_seed_20250419_48000,arabica_only,PC4,0.04675518328346508
sgC,priority_seed_20250419_48000,arabica_only,PC5,0.03606438472815632
sgC,priority_seed_20250420_6000,full_panel,PC1,0.3975528379046631
sgC,priority_seed_20250420_6000,full_panel,PC2,0.1436950405633247
sgC,priority_seed_20250420_6000,full_panel,PC3,0.08486502745691239
sgC,priority_seed_20250420_6000,full_panel,PC4,0.05151715489802336
sgC,priority_seed_20250420_6000,full_panel,PC5,0.03751155672383028
sgC,priority_seed_20250420_6000,arabica_only,PC1,0.3404829241208872
sgC,priority_seed_20250420_6000,arabica_only,PC2,0.1733457349593752
sgC,priority_seed_20250420_6000,arabica_only,PC3,0.05761248556175916
sgC,priority_seed_20250420_6000,arabica_only,PC4,0.0471984387594617
sgC,priority_seed_20250420_6000,arabica_only,PC5,0.03559591112752978
sgC,priority_seed_20250420_12000,full_panel,PC1,0.3965502966669365
sgC,priority_seed_20250420_12000,full_panel,PC2,0.1430521195471403
sgC,priority_seed_20250420_12000,full_panel,PC3,0.08380489058722455
sgC,priority_seed_20250420_12000,full_panel,PC4,0.05114988997094293
sgC,priority_seed_20250420_12000,full_panel,PC5,0.03759981922882503
sgC,priority_seed_20250420_12000,arabica_only,PC1,0.3408583880603927
sgC,priority_seed_20250420_12000,arabica_only,PC2,0.1703443845942551
sgC,priority_seed_20250420_12000,arabica_only,PC3,0.0569203503148631
sgC,priority_seed_20250420_12000,arabica_only,PC4,0.04678175681419149
sgC,priority_seed_20250420_12000,arabica_only,PC5,0.0364338096057596
sgC,priority_seed_20250420_24000,full_panel,PC1,0.3954707525407367
sgC,priority_seed_20250420_24000,full_panel,PC2,0.1438341402337478
sgC,priority_seed_20250420_24000,full_panel,PC3,0.08336117801250682
