subgenome,condition,panel_type,sample_id,analysis_group,PC1,PC2,PC3,PC4,PC5
sgC,priority_seed_20250417_6000,full_panel,TIP1,arabica_cultivated,-21.52371941540885,3.215360765118782,3.962730047231223,-0.8056759408937344,0.6714462362482182
sgC,priority_seed_20250417_6000,arabica_only,1,arabica_wild,-11.54217651505507,9.500696680462642,5.082869771531088,-3.779427598341633,5.680900117164714
sgC,priority_seed_20250417_6000,arabica_only,2,arabica_wild,-11.93816329776543,9.119729693394348,4.36047568372728,-2.832431503169717,7.210774814363974
sgC,priority_seed_20250417_6000,arabica_only,3,arabica_wild,-11.40047479961911,9.499055724208855,5.771254893618877,-4.215983148963064,7.819077877354491
sgC,priority_seed_20250417_6000,arabica_only,4,arabica_wild,-11.67192283066721,9.380140812200288,5.981930237216156,-4.534498394728345,10.8896931045767
sgC,priority_seed_20250417_6000,arabica_only,5,arabica_wild,-11.40200656379913,8.933242186371096,4.161589964465041,-3.07773547976437,7.212154589306876
sgC,priority_seed_20250417_6000,arabica_only,6,arabica_wild,-11.81023232522681,10.00962842153472,5.556335824640897,-4.811385840785446,9.239744371738672
sgC,priority_seed_20250417_6000,arabica_only,7,arabica_wild,-11.78676921146146,9.681021214533748,6.34692710092401,-3.942955808667039,4.784643384610415
sgC,priority_seed_20250417_6000,arabica_only,8,arabica_wild,-11.42975760410043,8.809477724782969,4.03381313552476,-3.181155646912907,6.1180251659258
sgC,priority_seed_20250417_6000,arabica_only,9,arabica_wild,-11.38420572543945,8.372306490594422,3.134363311326756,-1.538362435951251,5.611696440474967
sgC,priority_seed_20250417_6000,arabica_only,10,arabica_introgressed,29.88556671485151,-71.21775014224995,17.98398373984424,52.95835286796242,6.544044865774071
sgC,priority_seed_20250417_6000,arabica_only,11,arabica_introgressed,64.82322283798318,-90.36921380057936,53.09034322586923,-46.2142570354212,-5.159491825774764
sgC,priority_seed_20250417_6000,arabica_only,12,arabica_cultivated,-10.59007993787183,5.895997989658415,-1.597577877054894,2.519386462250247,-2.541841220616848
sgC,priority_seed_20250417_6000,arabica_only,13,arabica_cultivated,-10.74448228312998,6.051739864981601,-0.8936107820575757,2.276195161527073,-1.502917882001972
sgC,priority_seed_20250417_6000,arabica_only,14,arabica_cultivated,-10.95775104781483,7.828815198661816,2.39567178132977,-0.06996277797368515,2.829325917208109
sgC,priority_seed_20250417_6000,arabica_only,15,arabica_wild,-11.71378062329035,9.440819680069147,5.437244627238601,-3.823020942218458,7.97785254178066
sgC,priority_seed_20250417_6000,arabica_only,16,arabica_introgressed,16.35782560645742,-50.31450998681622,1.642398565799517,45.5769204096207,0.7675806691115089
sgC,priority_seed_20250417_6000,arabica_only,17_BMJM,arabica_cultivated,-10.63745280427607,6.296814052087388,-0.5712250409967049,0.1209839897643189,-2.203149659067415
sgC,priority_seed_20250417_6000,arabica_only,18_E123,arabica_wild,-10.38977537065445,8.37358299360199,2.825392462848535,-2.969256178375225,3.721286111748269
sgC,priority_seed_20250417_6000,arabica_only,19_E237,arabica_wild,-11.42714694551085,9.886326401382075,3.251593023019786,-3.579401271766012,7.976447561058871
sgC,priority_seed_20250417_6000,arabica_only,20_E261,arabica_wild,-10.55144119859205,8.000281708118804,1.506543560318355,-2.437440329777003,3.355572855648396
sgC,priority_seed_20250417_6000,arabica_only,21_E383,arabica_wild,-12.04827790830449,9.088073550579212,3.561007479380105,-2.994575698314618,6.584831318047714
sgC,priority_seed_20250417_6000,arabica_only,22_E516,arabica_wild,-11.04390316472505,7.269339903142599,1.145688548080559,-1.852661929162837,1.548578570809511
sgC,priority_seed_20250417_6000,arabica_only,23_Erecta,arabica_cultivated,-10.40302843944635,5.48006654970325,-1.907822197864206,0.8311859285877559,-2.852224805452303
sgC,priority_seed_20250417_6000,arabica_only,24_ET59,arabica_wild,-11.43558890535398,8.955762690474712,2.609064577128371,-3.232982334146628,3.539241708793664
sgC,priority_seed_20250417_6000,arabica_only,25_JK1,arabica_cultivated,-10.77402522780183,7.418936337663411,-0.8808250649107577,-0.4044102104023052,-2.323151836673445
sgC,priority_seed_20250417_6000,arabica_only,26_Moka,arabica_cultivated,-10.669946438176,6.734301815909212,-1.949271094114864,1.886452688928139,-4.949988991780147
