subgenome,condition,panel_type,pairwise_distance_correlation_vs_filtered_12k,procrustes_similarity_vs_filtered_12k,procrustes_rmse_vs_filtered_12k
sgC,priority_seed_20250420_24000,arabica_only,0.9943499694273008,0.929267530855134,0.007163355603403657
sgC,priority_seed_20250420_48000,full_panel,0.9998847451651842,0.9871421943435752,0.001225943667319141
sgC,priority_seed_20250420_48000,arabica_only,0.9991721306563957,0.9712128309243971,0.002915389938975655
sgC,all_eligible,full_panel,0.9999192850066915,0.9883713110362272,0.001108751988893047
sgC,all_eligible,arabica_only,0.9955149763138952,0.9368224559273066,0.006398238599807997
sgE,filtered_reservoir_12000,full_panel,1.0,1.0,0.0
sgE,filtered_reservoir_12000,arabica_only,1.0,1.0,0.0
sgE,priority_seed_20250416_6000,full_panel,0.9989976717680199,0.9382601068449845,0.005886667838732726
sgE,priority_seed_20250416_6000,arabica_only,0.9977358462499989,0.9448875637127488,0.005581453384398961
sgE,priority_seed_20250416_12000,full_panel,0.9995916746443381,0.9600331048554002,0.003810693932867727
sgE,priority_seed_20250416_12000,arabica_only,0.9993158038385226,0.9629076934768124,0.003756483903196634
sgE,priority_seed_20250416_24000,full_panel,0.9996882855821035,0.9662509074223776,0.0032178497193749
sgE,priority_seed_20250416_24000,arabica_only,0.999377245786697,0.96548299854282,0.003495672620937045
sgE,priority_seed_20250416_48000,full_panel,0.9996016578525169,0.9518556511413726,0.004590383552028993
sgE,priority_seed_20250416_48000,arabica_only,0.999455433312948,0.970049327572209,0.003033222503825127
sgE,priority_seed_20250417_6000,full_panel,0.9997865054246029,0.9703834267399519,0.002823829462510725
sgE,priority_seed_20250417_6000,arabica_only,0.9976221200401151,0.9382038134925947,0.006258343081169379
sgE,priority_seed_20250417_12000,full_panel,0.9998483081291129,0.9770040516284234,0.002192577647652139
sgE,priority_seed_20250417_12000,arabica_only,0.9981717437481132,0.9463169470153593,0.005436694110278396
sgE,priority_seed_20250417_24000,full_panel,0.999869495847432,0.9784986728053753,0.002050071109920355
sgE,priority_seed_20250417_24000,arabica_only,0.9986983260336223,0.9542537485037302,0.004632902978678253
sgE,priority_seed_20250417_48000,full_panel,0.9999137243053506,0.9833736017650866,0.001585264871088884
sgE,priority_seed_20250417_48000,arabica_only,0.9992666485453832,0.9664189974283766,0.003400880329042095
sgE,priority_seed_20250418_6000,full_panel,0.9996043224948307,0.9529016546965994,0.004490651026216337
sgE,priority_seed_20250418_6000,arabica_only,0.9976924942529395,0.9377939817894108,0.00629984835113872
sgE,priority_seed_20250418_12000,full_panel,0.9997117799981209,0.9675117223102728,0.003097635736617707
sgE,priority_seed_20250418_12000,arabica_only,0.998040655388467,0.943705655689691,0.00570114986272123
sgE,priority_seed_20250418_24000,full_panel,0.9996655460489058,0.9632839575395067,0.003500737291123303
sgE,priority_seed_20250418_24000,arabica_only,0.9994701064761965,0.969822360994265,0.003056208302674743
sgE,priority_seed_20250418_48000,full_panel,0.9997435926642357,0.9723433833385229,0.002636954933182474
sgE,priority_seed_20250418_48000,arabica_only,0.9995920756512142,0.9715174360194869,0.002884541381854489
sgE,priority_seed_20250419_6000,full_panel,0.9992126067872407,0.927296623867316,0.006931994925436508
sgE,priority_seed_20250419_6000,arabica_only,0.9955269887816215,0.911915074858789,0.008920707133712225
sgE,priority_seed_20250419_12000,full_panel,0.9998205141733592,0.9654598080458455,0.003293278085364788
sgE,priority_seed_20250419_12000,arabica_only,0.996324253641993,0.9161820995646437,0.008488568743718455
sgE,priority_seed_20250419_24000,full_panel,0.9998611680397347,0.9820379856615513,0.001712610869920376
sgE,priority_seed_20250419_24000,arabica_only,0.9976977872153581,0.9299099015916106,0.00709830019009442
sgE,priority_seed_20250419_48000,full_panel,0.9998796603713193,0.9806530190801385,0.001844662252193623
sgE,priority_seed_20250419_48000,arabica_only,0.9993097895803049,0.9674131091768723,0.003300202718743892
sgE,priority_seed_20250420_6000,full_panel,0.9995338719733143,0.9537882089402399,0.004406121395751526
sgE,priority_seed_20250420_6000,arabica_only,0.9979680545239089,0.9419872270531344,0.005875181895697707
sgE,priority_seed_20250420_12000,full_panel,0.9991583697088724,0.9334357500796127,0.006346652208028317
sgE,priority_seed_20250420_12000,arabica_only,0.9986612067884613,0.9521143177206145,0.004849571556399444
sgE,priority_seed_20250420_24000,full_panel,0.9998669204483788,0.9745855248773779,0.002423175125473297
sgE,priority_seed_20250420_24000,arabica_only,0.9978746882494594,0.9327560450756223,0.006810060035031688
sgE,priority_seed_20250420_48000,full_panel,0.9997831301172223,0.964326684966405,0.003401317131890528
sgE,priority_seed_20250420_48000,arabica_only,0.9988160425610165,0.9519295487797461,0.004868283834422619
sgE,all_eligible,full_panel,0.9998547970840725,0.9767228834290126,0.002219385983594517
sgE,all_eligible,arabica_only,0.9995720198334466,0.9734496907166478,0.002688854341949778
